Time, Sigfox_message, Upload_status
2018-01-26 12:18:32.901330,23a0fb0a3c1c010006a709b1,Created
2018-01-26 12:21:02.469376,23a0fa0a3c2d0119069a09ad,Created
2018-01-26 12:23:32.592538,23a0fa0a3c30011c06a80984,Created
2018-01-26 12:26:02.229349,23a0fb0a3c26011106a909ab,Created
2018-01-26 12:28:32.375070,23a0fc0a3c22010d06ae099d,Created
2018-01-26 12:31:02.434054,23a0fc0a3c1c0105069f09a0,Created
2018-01-26 12:33:33.005581,23a0fc0a3c190100069e098d,Created
2018-01-26 12:36:02.305128,23a0fd0a3c1500f9069f0990,Created
2018-01-26 12:38:32.392335,23a0fd0a3c1400f6069a098c,Created
2018-01-26 12:41:02.278942,23a0fc0a3c1800fc06a50992,Created
2018-01-26 12:43:32.218324,23a0fc0a3c20010706a00999,Created
2018-01-26 12:46:02.252801,23a0fd0a3c1a010206a40997,Created
2018-01-26 12:48:32.331883,23a0fd0a3c1400f906a50996,Created
2018-01-26 12:51:02.346771,23a0fc0a3c1500fa06a30996,Created
2018-01-26 12:53:32.380183,23a0fd0a3c1500fd06a7097f,Created
2018-01-26 12:56:02.378697,23a0fc0a3c1800ff06a3097e,Created
2018-01-26 14:08:42.614417,23a0fc0a3c1300f606c20993,Created
2018-01-26 14:23:22.868107,00000000000000000694099d,Created
2018-01-26 14:25:49.774495,000000000000000006a90993,Created
2018-01-26 14:28:19.606082,000000000000000006bb099d,Created
2018-01-26 14:30:53.949421,23a0bf0a3b0c00dc06c60984,Created
2018-01-26 14:33:19.616376,23a0c00a3b0900d506c30984,Created
2018-01-26 14:35:49.483023,23a0c00a3b0800cc06b60986,Created
2018-01-26 14:38:19.779801,23a0bf0a3b0b00d306bf0989,Created
2018-01-26 14:45:52.101460,23a2740a3c6400d506cf0983,Created
2018-01-26 14:48:19.829700,23a4df0a3cec00b706ca097a,Created
2018-01-26 14:50:53.744228,23a60f0a3a01010b06d9097d,Created
2018-01-26 14:58:37.239147,23aa9d0a2e38013806eb0970,Created
2018-01-26 15:00:50.694336,23ad2e0a2bf9013506ec0971,Created
2018-01-26 15:03:19.539157,23b1510a27b3013206fb0972,Created
2018-01-26 15:13:22.249351,23b3560a16610129070b0966,Created
2018-01-26 18:38:12.497272,23b8170a14f000e106b208c7,Created
