_sentence,_receivers,time,latitude,longitude,altitude,temperature_internal,battery
"$$LetFik3,00:26:45,50.1030635834,14.3924975395,246,17.17141,11.2181719482*F3FD",LetFik3,00:26:45,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:04,50.1030635834,14.3924975395,246,17.17141,11.2181719482*F317",LetFik3,00:42:04,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:05,50.1030635834,14.3924975395,246,17.17141,11.2181719482*B2D0",LetFik3,00:42:05,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:06,50.1030635834,14.3924975395,246,17.17141,11.2181719482*7099",LetFik3,00:42:06,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:07,50.1030635834,14.3924975395,246,17.17141,11.2181719482*315E",LetFik3,00:42:07,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:08,50.1030635834,14.3924975395,246,17.17141,11.2181719482*CA50",LetFik3,00:42:08,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:09,50.1030635834,14.3924975395,246,17.17141,11.2181719482*8B97",LetFik3,00:42:09,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:10,50.1030635834,14.3924975395,246,17.17141,11.2181719482*7BCF",LetFik3,00:42:10,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:42:12,50.1030635834,14.3924975395,246,17.17141,11.2181719482*F841",LetFik3,00:42:12,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,00:53:39,50.1030635834,14.3924975395,246,17.17141,11.2181719482*2588",LetFik3,00:53:39,50.1030635834,14.3924975395,246.0,17.17141,11.2181719482
"$$LetFik3,07:23:22,0.0,0.0,0,8.60056,10.4309318115*E724",LetFik3,07:23:22,0.0,0.0,0.0,8.60056,10.4309318115
