Nr T   RTC_Date   RTC_Time     GPS_UTC      GPS_Alt_[m]  Pressure_[Pa] Bar_Alt_[m]
1  b   2000-01-01 01:00:12,794 nan          nan          96310         426.089362
1  r   2000-01-01 01:00:22,799 08:14:54.000 541.300000   96312         425.980927
1  r   2000-01-01 02:31:36,499 09:46:08.000 535.300000   96352         422.511596
1  x   2000-01-01 02:31:19,836 

2  b   2000-01-01 02:31:26,483 nan          nan          96354         422.294801
2  r   2000-01-01 02:31:36,499 09:46:08.000 535.300000   96352         422.511596
2  x   2000-01-01 02:31:44,355

3  b   2000-01-01 02:32:28,184 nan          nan          96356         422.121369
3  r   2000-01-01 02:32:38,189 09:47:11.000 531.700000   96354         422.316481
3  r   2000-01-01 04:12:51,609 11:27:24.000 nan          5634          18749.907505
3  x   2000-01-01 04:12:55,799

4  b   2000-01-01 01:00:14,454 nan          nan          nan           nan
4  r   2000-01-01 01:00:15,166 nan          nan          5298          19047.678519
4  x   2000-01-01 01:35:17,402

5  b   2000-01-01 01:00:12,662 nan          nan          nan           nan
5  r   2000-01-01 01:00:13,367 nan          nan          840           26520.625733
5  r   2000-01-01 01:44:54,244 12:49:54.000 3294.700000  68504         3182.090030
5  x   2000-01-01 04:53:50,024 

# On the ground
6  b   2000-01-01 01:00:12,361 nan          nan          nan           nan
6  r   2000-01-01 01:00:13,076 nan          nan          100688        53.127775

