#Epoch GPS_date_UTC GPS_fix GPS_alt GPS_speed GPS_track GPS_climb GPS_avgClimb GPS_epx GPS_epv GPS_eps Latitude Longitude GSM_signal GSM_CellInfo T_CPU T_Altimet Pressure Alt_Alt T_SHT Humidity T_Bat RemCap_mAh Cap_mAh U_mV I_mA Charge_pct
946694728 10:00:01.000 3 536.000000 0.033953 0.000000 0.000000 0.049813 1.908000 5.290000 4.410000 49.744194 15.339874 19 230/3/94bb/8b81 65.00 27.688 96348 422.8 31.94 36.2 34.15 3005 3285 8116 -474 92.00
946694738 10:00:11.000 3 535.700000 0.041670 0.000000 0.000000 -0.011541 1.908000 5.290000 4.410000 49.744195 15.339878 16 230/3/94bb/8b81 65.00 27.750 96346 423.0 31.94 35.7 34.15 3004 3285 8118 -474 92.00
946694748 10:00:21.000 3 536.600000 0.010289 0.000000 0.079981 0.055989 1.908000 5.232000 4.410000 49.744194 15.339869 21 230/3/94bb/8b7f 65.00 27.750 96354 422.3 31.94 35.7 34.15 3003 3285 8118 -474 92.00
946694758 10:00:31.000 3 536.700000 0.009774 0.000000 0.059996 0.065722 1.908000 6.268000 4.410000 49.744196 15.339856 17 230/3/94bb/8b7f 65.00 27.750 96348 422.8 31.94 35.7 34.15 3001 3285 8118 -474 92.00
946694768 10:00:41.000 3 536.900000 0.012347 0.000000 -0.039997 -0.027135 1.908000 5.232000 4.410000 49.744196 15.339853 21 230/3/94bb/8b81 65.00 27.750 96348 422.8 31.94 35.7 34.15 3000 3285 8116 -474 92.00
946694778 10:00:51.000 3 537.200000 0.031896 0.000000 -0.016665 0.032199 1.908000 5.232000 4.410000 49.744196 15.339853 17 230/3/94bb/8b81 65.00 27.750 96346 423.0 31.94 35.7 34.15 2999 3285 8114 -474 92.00
946694788 10:01:01.000 3 538.100000 0.000514 0.000000 0.016668 0.082887 1.908000 5.232000 4.410000 49.744194 15.339862 20 230/3/94bb/8b7f 65.00 27.750 96350 422.7 31.94 35.7 34.15 2997 3285 8116 -474 92.00
946694798 10:01:11.000 3 537.700000 0.005144 0.000000 0.066696 0.057303 1.908000 5.348000 4.410000 49.744198 15.339863 20 230/3/94bb/8b7f 65.00 27.750 96350 422.6 31.94 35.7 34.25 2996 3285 8114 -474 92.00
946694808 10:01:21.000 3 537.400000 0.008746 0.000000 -0.083348 -0.092768 1.908000 5.232000 4.410000 49.744202 15.339859 20 230/3/94bb/8b7f 65.00 27.812 96350 422.7 31.94 35.7 34.25 2995 3285 8114 -473 92.00
946694818 10:01:31.000 3 538.000000 0.015948 0.000000 0.049999 0.044848 1.908000 5.692000 4.410000 49.744201 15.339854 21 230/3/94bb/8b81 65.00 27.812 96350 422.6 31.94 35.7 34.25 2993 3285 8112 -473 92.00
