Epoch	GPS_date_UTC	GPS_fix	GPS_alt	GPS_speed	GPS_track	GPS_climb	GPS_avgClimb	GPS_epx	GPS_epv	GPS_eps	Latitude	Longitude	GSM_signal	GSM_CellInfo	T_CPU	T_Altimet	Pressure	Alt_Alt	T_SHT	Humidity	T_Bat	RemCap_mAh	Cap_mAh	U_mV	I_mA	Charge_pct
946688412	nan	1	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	47.00	13.688	96310	426.1	15.90	38.6	18.75	3283	3284	8444	-57	100.00
946688422	08:14:54.000	3	541.300000	0.005144	0.000000	-0.434768	-0.434768	7.011000	28.750000	19.460000	49.744197	15.339858	44.00	13.812	96312	426.0	15.90	38.6	18.85	3283	3284	8448	-8	100.00
946688432	08:15:04.000	3	540.000000	0.013890	0.000000	-0.100072	-0.199830	7.011000	28.750000	19.460000	49.744196	15.339855	17	230/3/94bb/8b81	44.00	13.812	96312	425.9	15.90	38.6	18.85	3284	3284	8448	14	100.00
946688442	08:15:14.000	3	538.800000	0.006688	0.000000	0.000000	-0.192381	7.011000	28.750000	19.460000	49.744196	15.339858	17	230/3/94bb/8b81	44.00	13.875	96314	425.8	15.90	38.6	18.85	3284	3284	8446	24	100.00
946688452	08:15:24.000	3	538.800000	0.005144	0.000000	0.039991	0.005307	7.011000	35.420000	19.460000	49.744197	15.339859	15	230/3/94bb/8b81	45.00	13.875	96314	425.8	15.90	38.6	18.85	3284	3284	8448	29	100.00
946688462	08:15:34.000	3	541.100000	0.004116	0.000000	0.219996	0.136362	7.011000	28.750000	19.460000	49.744202	15.339853	16	230/3/94bb/8b81	45.00	13.875	96316	425.6	15.90	38.6	18.85	3284	3284	8448	32	100.00
946688472	08:15:44.000	3	542.400000	0.001543	0.000000	0.198841	0.213131	1.753000	7.188000	4.870000	49.744205	15.339858	17	230/3/94bb/8b81	45.00	13.875	96310	426.1	15.90	38.6	18.95	3284	3284	8446	31	100.00
946688482	08:15:54.000	3	541.300000	0.019034	0.000000	-0.099998	-0.026081	1.753000	7.303000	4.870000	49.744205	15.339866	20	230/3/94bb/8b81	45.00	13.875	96310	426.1	15.90	38.6	18.95	3284	3284	8448	31	100.00
946688492	08:16:04.000	3	539.700000	0.010803	0.000000	-0.116726	-0.065382	1.753000	8.855000	4.870000	49.744210	15.339864	18	230/3/94bb/8b7f	45.00	13.875	96304	426.6	16.60	38.6	18.95	3284	3284	8448	32	100.00
946688502	08:16:14.000	3	536.600000	0.054017	0.000000	-0.279786	-0.296480	1.753000	28.750000	4.870000	49.744208	15.339861	12	230/3/94bb/8b7f	45.00	13.938	96314	425.8	16.60	38.6	18.95	3284	3284	8448	32	100.00
946688512	08:16:24.000	3	539.200000	0.019034	0.000000	-0.149984	-0.188674	7.011000	28.750000	19.460000	49.744212	15.339842	20	230/3/94bb/8b81	45.00	13.938	96310	426.2	16.60	38.1	18.95	3284	3284	8448	32	100.00
946688522	08:16:34.000	3	539.900000	0.030352	0.000000	0.150087	0.206794	7.011000	28.750000	19.460000	49.744209	15.339830	20	230/3/94bb/8b81	45.00	13.938	96308	426.3	16.60	38.1	19.05	3284	3284	8448	32	100.00
946688532	08:16:44.000	3	537.700000	0.030867	0.000000	-0.331726	-0.126012	7.011000	35.420000	19.460000	49.744205	15.339817	20	230/3/94bb/8b81	45.00	13.938	96310	426.1	16.60	38.1	19.05	3284	3284	8448	31	100.00
946688542	08:16:54.000	3	537.400000	0.049901	0.000000	0.059970	-0.073232	7.011000	35.420000	19.460000	49.744206	15.339823	18	230/3/94bb/8b81	45.00	14.000	96316	425.6	16.60	38.1	19.05	3284	3284	8448	31	100.00
946688552	08:17:04.000	3	535.000000	0.025208	0.000000	-0.366588	-0.262310	7.011000	35.420000	19.460000	49.744204	15.339832	21	230/3/94bb/8b81	45.00	14.000	96308	426.3	16.60	38.1	19.15	3284	3284	8448	31	100.00
946688562	08:17:14.000	3	535.700000	0.026751	0.000000	0.000000	-0.062775	7.011000	35.420000	19.460000	49.744200	15.339839	18	230/3/94bb/8b81	46.00	14.000	96312	426.0	16.60	38.1	19.15	3284	3284	8446	31	100.00
946688572	08:17:24.000	3	535.300000	0.007717	0.000000	-0.019996	0.047541	7.011000	35.420000	19.460000	49.744198	15.339848	19	230/3/94bb/8b81	45.00	14.062	96314	425.7	16.60	38.6	19.15	3284	3284	8448	30	100.00
946688582	08:17:35.000	3	538.700000	0.013376	0.000000	0.379635	0.219696	7.011000	35.420000	19.460000	49.744191	15.339841	19	230/3/94bb/8b81	46.00	14.062	96310	426.2	16.60	38.6	19.15	3284	3284	8446	29	100.00
946688592	08:17:45.000	3	540.300000	0.005144	0.000000	0.116611	0.219366	7.011000	41.860000	19.460000	49.744186	15.339844	20	230/3/94bb/8b7f	46.00	14.062	96306	426.5	16.60	38.6	19.25	3284	3284	8446	28	100.00
946688602	08:17:55.000	3	539.100000	0.017491	0.000000	-0.183408	0.072184	7.011000	35.420000	19.460000	49.744188	15.339845	21	230/3/94bb/8b7f	46.00	14.062	96308	426.3	16.60	38.6	19.25	3284	3284	8448	28	100.00
