_sentence,_receivers,time,latitude,longitude,altitude,satellites,candy_noise,candy_flux
"$$LetFik2,16:04:16,5006.98682,01427.64807,204.5,05,16,0*295F",LetFik2,16:04:16,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,16:04:27,5006.98682,01427.64807,204.5,05,16,0*A63A",LetFik2,16:04:27,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,16:04:38,5006.98682,01427.64807,204.5,05,17,0*7C1C",LetFik2,16:04:38,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,16:04:49,5006.98682,01427.64807,204.5,05,17,0*69D1",LetFik2,16:04:49,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,16:05:01,5006.98682,01427.64807,204.5,05,17,0*1FA6",LetFik2,16:05:01,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,16:05:12,5006.98682,01427.64807,204.5,05,16,0*33B0",LetFik2,16:05:12,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,16:03:53,5006.98682,01427.64807,204.5,05,16,0*EFA0",LetFik2,16:03:53,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,18:03:53,5006.98682,01427.64807,204.5,05,16,0*70CB",LetFik2,18:03:53,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,17:03:42,5006.98682,01427.64807,204.5,05,16,0*6A7D",LetFik2,17:03:42,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,17:03:53,5006.98682,01427.64807,204.5,05,16,0*A84C",LetFik2,17:03:53,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,17:04:05,5006.98682,01427.64807,204.5,05,16,0*7595",LetFik2,17:04:05,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,17:04:16,5006.98682,01427.64807,204.5,05,16,0*6EB3",LetFik2,17:04:16,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:03:42,5006.98682,01427.64807,204.5,05,16,0*F516",LetFik2,19:03:42,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:03:53,5006.98682,01427.64807,204.5,05,16,0*3727",LetFik2,19:03:53,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:04:05,5006.98682,01427.64807,204.5,05,16,0*EAFE",LetFik2,19:04:05,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:04:16,5006.98682,01427.64807,204.5,05,16,0*F1D8",LetFik2,19:04:16,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:04:27,5006.98682,01427.64807,204.5,05,16,0*7EBD",LetFik2,19:04:27,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:04:38,5006.98682,01427.64807,204.5,05,16,0*93AB",LetFik2,19:04:38,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:04:49,5006.98682,01427.64807,204.5,05,16,0*8666",LetFik2,19:04:49,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:05:01,5006.98682,01427.64807,204.5,05,16,0*F011",LetFik2,19:05:01,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:05:12,5006.98682,01427.64807,204.5,05,16,0*EB37",LetFik2,19:05:12,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:05:23,5006.98682,01427.64807,204.5,05,16,0*6452",LetFik2,19:05:23,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,19:03:42,5006.98682,01427.64807,204.5,05,0,0*E3BA",LetFik2,19:03:42,50.116447,14.46080117,204.5,5,0,0
"$$LetFik2,19:03:53,5006.98682,01427.64807,204.5,05,0,0*F36A",LetFik2,19:03:53,50.116447,14.46080117,204.5,5,0,0
"$$LetFik2,19:04:05,5006.98682,01427.64807,204.5,05,0,0*0538",LetFik2,19:04:05,50.116447,14.46080117,204.5,5,0,0
"$$LetFik2,19:03:42,5006.98682,01427.64807,204.5,05,16,1*E537",LetFik2,19:03:42,50.116447,14.46080117,204.5,5,16,1
"$$LetFik2,19:03:53,5006.98682,01427.64807,204.5,05,16,1*2706",LetFik2,19:03:53,50.116447,14.46080117,204.5,5,16,1
"$$LetFik2,19:04:05,5006.98682,01427.64807,204.5,05,19,0*C6CF",LetFik2,19:04:05,50.116447,14.46080117,204.5,5,19,0
"$$LetFik2,19:04:38,5006.98682,01427.64807,204.5,05,17,0*A49B",LetFik2,19:04:38,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,19:04:49,5006.98682,01427.64807,204.5,05,17,0*B156",LetFik2,19:04:49,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,19:05:01,5006.98682,01427.64807,204.5,05,17,0*C721",LetFik2,19:05:01,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,20:03:42,5006.98682,01427.64807,204.5,05,0,0*2537",LetFik2,20:03:42,50.116447,14.46080117,204.5,5,0,0
"$$LetFik2,20:03:53,5006.98682,01427.64807,204.5,05,16,1*138C",LetFik2,20:03:53,50.116447,14.46080117,204.5,5,16,1
"$$LetFik2,20:04:05,5006.98682,01427.64807,204.5,05,19,0*F245",LetFik2,20:04:05,50.116447,14.46080117,204.5,5,19,0
"$$LetFik2,20:04:16,5006.98682,01427.64807,204.5,05,16,0*C552",LetFik2,20:04:16,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,20:04:27,5006.98682,01427.64807,204.5,05,16,0*4A37",LetFik2,20:04:27,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,22:03:42,5006.98682,01427.64807,204.5,05,16,0*4E44",LetFik2,22:03:42,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,22:03:53,5006.98682,01427.64807,204.5,05,16,1*9C54",LetFik2,22:03:53,50.116447,14.46080117,204.5,5,16,1
"$$LetFik2,22:04:05,5006.98682,01427.64807,204.5,05,19,0*7D9D",LetFik2,22:04:05,50.116447,14.46080117,204.5,5,19,0
"$$LetFik2,22:04:16,5006.98682,01427.64807,204.5,05,16,0*4A8A",LetFik2,22:04:16,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,22:04:27,5006.98682,01427.64807,204.5,05,16,0*C5EF",LetFik2,22:04:27,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,22:04:38,5006.98682,01427.64807,204.5,05,17,0*1FC9",LetFik2,22:04:38,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,22:04:49,5006.98682,01427.64807,204.5,05,17,0*0A04",LetFik2,22:04:49,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,22:05:01,5006.98682,01427.64807,204.5,05,17,0*7C73",LetFik2,22:05:01,50.116447,14.46080117,204.5,5,17,0
"$$LetFik2,22:05:12,5006.98682,01427.64807,204.5,05,16,0*5065",LetFik2,22:05:12,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,22:05:23,5006.98682,01427.64807,204.5,05,16,0*DF00",LetFik2,22:05:23,50.116447,14.46080117,204.5,5,16,0
"$$LetFik2,08:40:00,5006.99707,01427.62915,235.3,07,0,0*772F",LetFik2,08:40:00,50.11661783,14.46048583,235.3,7,0,0
"$$LetFik2,08:40:17,5006.99170,01427.63440,237.7,05,0,0*B576",LetFik2,08:40:17,50.11652833,14.46057333,237.7,5,0,0
"$$LetFik2,08:40:33,5006.99414,01427.63110,236.7,05,0,0*A785",LetFik2,08:40:33,50.116569,14.46051833,236.7,5,0,0
"$$LetFik2,08:40:49,5006.99365,01427.63037,237.5,06,0,0*B07B",LetFik2,08:40:49,50.11656083,14.46050617,237.5,6,0,0
"$$LetFik2,08:41:05,5006.99268,01427.63086,238.9,07,0,0*B7E8",LetFik2,08:41:05,50.11654467,14.46051433,238.9,7,0,0
"$$LetFik2,08:41:22,5006.99170,01427.63171,241.6,06,0,0*30EB",LetFik2,08:41:22,50.11652833,14.4605285,241.6,6,0,0
"$$LetFik2,08:41:38,5006.99170,01427.63147,242.6,07,0,0*0DA4",LetFik2,08:41:38,50.11652833,14.4605245,242.6,7,0,0
"$$LetFik2,08:41:54,5006.99170,01427.63110,242.4,06,0,0*25F3",LetFik2,08:41:54,50.11652833,14.46051833,242.4,6,0,0
"$$LetFik2,08:42:10,5006.99072,01427.63159,242.9,07,0,0*DE84",LetFik2,08:42:10,50.116512,14.4605265,242.9,7,0,0
"$$LetFik2,08:42:26,5006.99072,01427.63196,243.7,07,0,0*2C3E",LetFik2,08:42:26,50.116512,14.46053267,243.7,7,0,0
"$$LetFik2,08:42:43,5006.99170,01427.63159,243.8,07,0,0*D00D",LetFik2,08:42:43,50.11652833,14.4605265,243.8,7,0,0
"$$LetFik2,08:42:59,5006.99414,01427.62891,242.5,07,0,0*8136",LetFik2,08:42:59,50.116569,14.46048183,242.5,7,0,0
"$$LetFik2,08:43:15,5006.99365,01427.62903,241.7,07,0,0*2EE4",LetFik2,08:43:15,50.11656083,14.46048383,241.7,7,0,0
"$$LetFik2,08:43:31,5006.99463,01427.62732,240.8,07,0,0*CF88",LetFik2,08:43:31,50.11657717,14.46045533,240.8,7,0,0
"$$LetFik2,08:43:47,5006.99561,01427.62695,241.7,07,0,0*21BD",LetFik2,08:43:47,50.1165935,14.46044917,241.7,7,0,0
"$$LetFik2,08:44:04,5006.99512,01427.62793,243.4,07,0,0*1D7C",LetFik2,08:44:04,50.11658533,14.4604655,243.4,7,0,0
"$$LetFik2,08:44:20,5006.99463,01427.62769,243.0,07,0,0*8AF5",LetFik2,08:44:20,50.11657717,14.4604615,243.0,7,0,0
"$$LetFik2,08:44:36,5006.99512,01427.62537,242.5,07,0,0*2781",LetFik2,08:44:36,50.11658533,14.46042283,242.5,7,0,0
"$$LetFik2,08:44:52,5006.99414,01427.62585,243.4,07,0,0*5A53",LetFik2,08:44:52,50.116569,14.46043083,243.4,7,0,0
"$$LetFik2,08:45:09,5006.99365,01427.62756,244.7,07,0,0*1ED1",LetFik2,08:45:09,50.11656083,14.46045933,244.7,7,0,0
"$$LetFik2,08:45:25,5006.99268,01427.62915,244.8,06,0,0*6A14",LetFik2,08:45:25,50.11654467,14.46048583,244.8,6,0,0
"$$LetFik2,08:45:41,5006.99219,01427.62939,243.5,06,0,0*2799",LetFik2,08:45:41,50.1165365,14.46048983,243.5,6,0,0
"$$LetFik2,08:45:57,5006.99170,01427.62903,241.7,06,0,0*F87E",LetFik2,08:45:57,50.11652833,14.46048383,241.7,6,0,0
"$$LetFik2,08:46:13,5006.99219,01427.62854,241.3,06,0,0*F7D6",LetFik2,08:46:13,50.1165365,14.46047567,241.3,6,0,0
"$$LetFik2,08:46:30,5006.99268,01427.63000,243.1,06,0,0*7CCE",LetFik2,08:46:30,50.11654467,14.4605,243.1,6,0,0
"$$LetFik2,08:46:46,5006.99365,01427.63037,244.9,06,0,0*4128",LetFik2,08:46:46,50.11656083,14.46050617,244.9,6,0,0
"$$LetFik2,08:47:02,5006.99463,01427.62927,243.9,06,0,0*D140",LetFik2,08:47:02,50.11657717,14.46048783,243.9,6,0,0
"$$LetFik2,08:47:18,5006.99463,01427.62915,244.5,06,0,0*0779",LetFik2,08:47:18,50.11657717,14.46048583,244.5,6,0,0
"$$LetFik2,08:47:34,5006.99365,01427.62927,246.0,06,0,0*4884",LetFik2,08:47:34,50.11656083,14.46048783,246.0,6,0,0
"$$LetFik2,08:47:51,5006.99365,01427.62878,246.6,06,0,0*A054",LetFik2,08:47:51,50.11656083,14.46047967,246.6,6,0,0
"$$LetFik2,08:48:07,5006.99365,01427.62927,246.7,06,0,0*1215",LetFik2,08:48:07,50.11656083,14.46048783,246.7,6,0,0
"$$LetFik2,08:48:23,5006.99219,01427.62939,245.9,05,0,0*497C",LetFik2,08:48:23,50.1165365,14.46048983,245.9,5,0,0
"$$LetFik2,08:48:39,5006.99072,01427.63025,245.1,05,0,0*6917",LetFik2,08:48:39,50.116512,14.46050417,245.1,5,0,0
"$$LetFik2,08:48:56,5006.99170,01427.62964,246.3,06,0,0*D85F",LetFik2,08:48:56,50.11652833,14.460494,246.3,6,0,0
"$$LetFik2,08:49:12,5006.99023,01427.63049,247.1,05,0,0*7257",LetFik2,08:49:12,50.11650383,14.46050817,247.1,5,0,0
"$$LetFik2,08:49:28,5006.99072,01427.63049,247.0,06,0,0*204D",LetFik2,08:49:28,50.116512,14.46050817,247.0,6,0,0
"$$LetFik2,08:49:44,5006.99072,01427.62976,248.8,06,0,0*F1C5",LetFik2,08:49:44,50.116512,14.460496,248.8,6,0,0
"$$LetFik2,08:50:00,5006.99170,01427.62854,250.1,06,0,0*5545",LetFik2,08:50:00,50.11652833,14.46047567,250.1,6,0,0
"$$LetFik2,08:50:17,5006.99219,01427.62781,249.8,06,0,0*98D2",LetFik2,08:50:17,50.1165365,14.4604635,249.8,6,0,0
"$$LetFik2,08:50:33,5006.99414,01427.62695,249.6,06,0,0*1094",LetFik2,08:50:33,50.116569,14.46044917,249.6,6,0,0
"$$LetFik2,08:50:49,5006.99512,01427.62720,250.1,06,0,0*8871",LetFik2,08:50:49,50.11658533,14.46045333,250.1,6,0,0
"$$LetFik2,08:51:05,5006.99463,01427.62744,250.5,06,0,0*314E",LetFik2,08:51:05,50.11657717,14.46045733,250.5,6,0,0
"$$LetFik2,08:51:21,5006.99316,01427.62732,251.7,06,0,0*327C",LetFik2,08:51:21,50.11655267,14.46045533,251.7,6,0,0
"$$LetFik2,08:51:38,5006.99170,01427.62781,252.0,06,0,0*205E",LetFik2,08:51:38,50.11652833,14.4604635,252.0,6,0,0
"$$LetFik2,08:51:54,5006.99268,01427.62756,250.5,06,0,0*D7F8",LetFik2,08:51:54,50.11654467,14.46045933,250.5,6,0,0
"$$LetFik2,08:52:10,5006.99268,01427.62720,250.6,06,0,0*0CF0",LetFik2,08:52:10,50.11654467,14.46045333,250.6,6,0,0
"$$LetFik2,08:52:26,5006.99219,01427.62683,250.4,06,0,0*2E6A",LetFik2,08:52:26,50.1165365,14.46044717,250.4,6,0,0
"$$LetFik2,08:52:42,5006.99219,01427.62671,250.2,06,0,0*9DE6",LetFik2,08:52:42,50.1165365,14.46044517,250.2,6,0,0
"$$LetFik2,08:52:59,5006.99170,01427.62659,252.0,06,0,0*DD84",LetFik2,08:52:59,50.11652833,14.46044317,252.0,6,0,0
"$$LetFik2,08:53:15,5006.99170,01427.62671,253.6,06,0,0*EBE3",LetFik2,08:53:15,50.11652833,14.46044517,253.6,6,0,0
"$$LetFik2,08:53:31,5006.99365,01427.62683,252.6,06,0,0*7407",LetFik2,08:53:31,50.11656083,14.46044717,252.6,6,0,0
"$$LetFik2,08:53:47,5006.99512,01427.62659,251.1,06,0,0*4F07",LetFik2,08:53:47,50.11658533,14.46044317,251.1,6,0,0
"$$LetFik2,08:54:04,5006.99805,01427.62659,249.5,06,0,0*37C2",LetFik2,08:54:04,50.11663417,14.46044317,249.5,6,0,0
"$$LetFik2,08:54:20,5006.99805,01427.62646,250.4,06,0,0*809F",LetFik2,08:54:20,50.11663417,14.460441,250.4,6,0,0
"$$LetFik2,08:54:36,5006.99756,01427.62659,250.5,06,0,0*60AF",LetFik2,08:54:36,50.116626,14.46044317,250.5,6,0,0
"$$LetFik2,08:54:52,5006.99707,01427.62683,250.2,07,0,0*748C",LetFik2,08:54:52,50.11661783,14.46044717,250.2,7,0,0
"$$LetFik2,08:55:08,5006.99707,01427.62524,250.1,06,0,0*6647",LetFik2,08:55:08,50.11661783,14.46042067,250.1,6,0,0
"$$LetFik2,08:55:25,5006.99707,01427.62439,250.6,05,0,0*3A56",LetFik2,08:55:25,50.11661783,14.4604065,250.6,5,0,0
"$$LetFik2,08:55:41,5006.99658,01427.62537,250.7,06,0,0*63AB",LetFik2,08:55:41,50.11660967,14.46042283,250.7,6,0,0
"$$LetFik2,08:55:57,5006.99756,01427.62610,248.9,06,0,0*8955",LetFik2,08:55:57,50.116626,14.460435,248.9,6,0,0
"$$LetFik2,08:56:13,5006.99756,01427.62720,246.4,06,0,0*CD49",LetFik2,08:56:13,50.116626,14.46045333,246.4,6,0,0
"$$LetFik2,08:56:30,5006.99756,01427.62744,246.4,06,0,0*336C",LetFik2,08:56:30,50.116626,14.46045733,246.4,6,0,0
"$$LetFik2,08:56:46,5006.99854,01427.62854,245.6,06,0,0*DF16",LetFik2,08:56:46,50.11664233,14.46047567,245.6,6,0,0
"$$LetFik2,08:57:02,5006.99707,01427.62939,245.0,05,0,0*601A",LetFik2,08:57:02,50.11661783,14.46048983,245.0,5,0,0
"$$LetFik2,08:57:18,5006.99561,01427.62927,244.3,05,0,0*A810",LetFik2,08:57:18,50.1165935,14.46048783,244.3,5,0,0
"$$LetFik2,08:57:34,5007.00049,01427.62793,244.4,07,0,0*99A2",LetFik2,08:57:34,50.11667483,14.4604655,244.4,7,0,0
"$$LetFik2,08:57:51,5007.00049,01427.62549,247.9,07,0,0*5FDE",LetFik2,08:57:51,50.11667483,14.46042483,247.9,7,0,0
"$$LetFik2,08:58:07,5006.99463,01427.62598,251.6,08,0,0*0EAE",LetFik2,08:58:07,50.11657717,14.460433,251.6,8,0,0
"$$LetFik2,08:58:23,5006.99609,01427.62024,255.2,07,0,0*463D",LetFik2,08:58:23,50.1166015,14.46033733,255.2,7,0,0
"$$LetFik2,08:58:39,5006.99561,01427.62085,255.3,08,0,0*9A3C",LetFik2,08:58:39,50.1165935,14.4603475,255.3,8,0,0
"$$LetFik2,08:58:55,5006.99512,01427.62036,255.5,08,0,0*956C",LetFik2,08:58:55,50.11658533,14.46033933,255.5,8,0,0
"$$LetFik2,08:59:12,5006.99316,01427.62122,255.3,08,0,0*057C",LetFik2,08:59:12,50.11655267,14.46035367,255.3,8,0,0
"$$LetFik2,08:59:28,5006.99219,01427.62317,254.7,08,0,0*3525",LetFik2,08:59:28,50.1165365,14.46038617,254.7,8,0,0
"$$LetFik2,08:59:44,5006.99414,01427.62244,254.8,07,0,0*044D",LetFik2,08:59:44,50.116569,14.460374,254.8,7,0,0
"$$LetFik2,09:00:00,5006.99561,01427.62170,255.7,07,0,0*8E8D",LetFik2,09:00:00,50.1165935,14.46036167,255.7,7,0,0
"$$LetFik2,09:00:16,5006.99512,01427.62146,257.1,07,0,0*4B5D",LetFik2,09:00:16,50.11658533,14.46035767,257.1,7,0,0
"$$LetFik2,09:00:33,5006.99365,01427.62085,257.8,06,0,0*2968",LetFik2,09:00:33,50.11656083,14.4603475,257.8,6,0,0
"$$LetFik2,09:00:49,5006.99316,01427.61987,258.3,06,0,0*EC08",LetFik2,09:00:49,50.11655267,14.46033117,258.3,6,0,0
"$$LetFik2,09:01:05,5006.99316,01427.61707,259.5,05,0,0*6474",LetFik2,09:01:05,50.11655267,14.4602845,259.5,5,0,0
"$$LetFik2,09:01:21,5006.99219,01427.61755,258.9,06,0,0*6DFD",LetFik2,09:01:21,50.1165365,14.4602925,258.9,6,0,0
"$$LetFik2,09:01:38,5006.99268,01427.61902,258.1,06,0,0*E36D",LetFik2,09:01:38,50.11654467,14.460317,258.1,6,0,0
"$$LetFik2,09:01:54,5006.99414,01427.61597,260.3,06,0,0*9B99",LetFik2,09:01:54,50.116569,14.46026617,260.3,6,0,0
"$$LetFik2,09:02:10,5006.99463,01427.61487,260.9,06,0,0*73C6",LetFik2,09:02:10,50.11657717,14.46024783,260.9,6,0,0
"$$LetFik2,09:02:26,5006.99463,01427.61707,258.9,06,0,0*AA0B",LetFik2,09:02:26,50.11657717,14.4602845,258.9,6,0,0
"$$LetFik2,09:02:42,5006.99609,01427.61865,260.1,06,0,0*08B6",LetFik2,09:02:42,50.1166015,14.46031083,260.1,6,0,0
"$$LetFik2,09:02:59,5006.99658,01427.61987,259.4,06,0,0*6473",LetFik2,09:02:59,50.11660967,14.46033117,259.4,6,0,0
"$$LetFik2,09:03:15,5006.99561,01427.62085,257.8,06,0,0*80F4",LetFik2,09:03:15,50.1165935,14.4603475,257.8,6,0,0
"$$LetFik2,09:03:31,5006.99365,01427.62109,257.0,06,0,0*7567",LetFik2,09:03:31,50.11656083,14.4603515,257.0,6,0,0
"$$LetFik2,09:03:47,5006.99023,01427.62024,258.3,06,0,0*048B",LetFik2,09:03:47,50.11650383,14.46033733,258.3,6,0,0
"$$LetFik2,09:04:04,5006.98828,01427.62219,258.9,06,0,0*4F91",LetFik2,09:04:04,50.11647133,14.46036983,258.9,6,0,0
"$$LetFik2,09:04:20,5006.98975,01427.62048,261.5,07,0,0*F5FD",LetFik2,09:04:20,50.11649583,14.46034133,261.5,7,0,0
"$$LetFik2,09:04:36,5006.98730,01427.62415,258.7,07,0,0*8539",LetFik2,09:04:36,50.116455,14.4604025,258.7,7,0,0
"$$LetFik2,09:04:52,5006.98486,01427.62634,256.6,06,0,0*9DCA",LetFik2,09:04:52,50.11641433,14.460439,256.6,6,0,0
"$$LetFik2,09:05:08,5006.98535,01427.62683,253.8,06,0,0*A379",LetFik2,09:05:08,50.1164225,14.46044717,253.8,6,0,0
"$$LetFik2,09:05:25,5006.98486,01427.62915,249.9,07,0,0*B397",LetFik2,09:05:25,50.11641433,14.46048583,249.9,7,0,0
"$$LetFik2,09:05:41,5006.98633,01427.62952,248.7,07,0,0*D335",LetFik2,09:05:41,50.11643883,14.460492,248.7,7,0,0
"$$LetFik2,09:05:57,5006.98633,01427.62988,247.0,06,0,0*1A0C",LetFik2,09:05:57,50.11643883,14.460498,247.0,6,0,0
"$$LetFik2,09:06:13,5006.98633,01427.63123,246.1,06,0,0*5F24",LetFik2,09:06:13,50.11643883,14.4605205,246.1,6,0,0
"$$LetFik2,09:06:29,5006.98779,01427.62964,247.8,06,0,0*9E7D",LetFik2,09:06:29,50.11646317,14.460494,247.8,6,0,0
"$$LetFik2,09:06:46,5006.99121,01427.62244,254.6,07,0,0*6B73",LetFik2,09:06:46,50.11652017,14.460374,254.6,7,0,0
"$$LetFik2,09:07:02,5006.99316,01427.61902,258.2,07,0,0*7579",LetFik2,09:07:02,50.11655267,14.460317,258.2,7,0,0
"$$LetFik2,09:07:18,5006.99365,01427.61902,258.2,07,0,0*355A",LetFik2,09:07:18,50.11656083,14.460317,258.2,7,0,0
"$$LetFik2,10:29:37,5006.19152,01423.61242,297.3,08,0,0*C172",LetFik2,10:29:37,50.103192,14.39354033,297.3,8,0,0
"$$LetFik2,10:29:38,5006.19146,01423.61229,297.2,08,0,0*8DAE",LetFik2,10:29:38,50.103191,14.39353817,297.2,8,0,0
"$$LetFik2,10:29:39,5006.19144,01423.61199,297.1,08,0,0*D55E",LetFik2,10:29:39,50.10319067,14.39353317,297.1,8,0,0
"$$LetFik2,10:29:40,5006.19142,01423.61144,296.9,07,0,0*DECE",LetFik2,10:29:40,50.10319033,14.393524,296.9,7,0,0
"$$LetFik2,10:29:41,5006.19140,01423.61100,296.7,07,0,0*9A60",LetFik2,10:29:41,50.10319,14.39351667,296.7,7,0,0
"$$LetFik2,10:29:42,5006.19140,01423.61051,296.5,07,0,0*FF31",LetFik2,10:29:42,50.10319,14.3935085,296.5,7,0,0
