Epoch	T_Altimet	Pressure	Alt_Alt	T_SHT	Humidity	T_Bat	RemCap_mAh	Cap_mAh	U_mV	I_mA	Charge_pct	GPS_Fix	GPS_Alt	GPS_Lat	GPS_Lon	GPS_epx	GPS_epy	GPS_epv	
1489780622	22.125	98198	263.6	22.82	33.8	34.15	2774	3286	8300	766	85.00	1	0	0	0	0	0	0	
1489780623	22.188	98194	263.9	22.83	33.8	34.15	2774	3286	8298	755	85.00	1	0	0	0	0	0	0	
1489780559	22.188	98196	263.8	22.83	33.8	34.15	2774	3286	8296	743	85.00	1	0	0	0	0	0	0	
1489780560	22.188	98194	264.0	22.83	33.8	34.15	2774	3286	8296	733	85.00	1	0	0	0	0	0	0	
1489780560	22.188	98198	263.6	22.84	33.8	34.15	2775	3286	8296	724	85.00	1	0	0	0	0	0	0	
1489780561	22.188	98200	263.4	22.84	33.8	34.15	2775	3286	8296	724	85.00	1	0	0	0	0	0	0	
1489780562	22.188	98198	263.6	22.84	33.8	34.15	2775	3286	8292	716	85.00	1	0	0	0	0	0	0	
1489780563	22.188	98196	263.8	22.85	33.8	34.15	2775	3286	8296	708	85.00	1	0	0	0	0	0	0	
1489780564	22.250	98200	263.4	22.85	33.7	34.15	2775	3286	8294	700	85.00	1	0	0	0	0	0	0	
1489780565	22.188	98198	263.6	22.85	33.7	34.15	2775	3286	8292	693	85.00	1	0	0	0	0	0	0	
1489780566	22.250	98196	263.8	22.85	33.7	34.15	2775	3286	8292	684	85.00	1	0	0	0	0	0	0	
1489780567	22.250	98200	263.4	22.86	33.7	34.15	2776	3286	8288	675	85.00	1	0	0	0	0	0	0	
1489780568	22.250	98204	263.1	22.86	33.7	34.15	2776	3286	8290	668	85.00	1	0	0	0	0	0	0	
1489780569	22.250	98200	263.5	22.86	33.7	34.15	2776	3286	8282	660	85.00	1	0	0	0	0	0	0	
1489780570	22.250	98200	263.5	22.87	33.7	34.15	2776	3286	8292	656	85.00	1	0	0	0	0	0	0	
1489780571	22.250	98198	263.7	22.87	33.7	34.15	2776	3286	8292	652	85.00	1	0	0	0	0	0	0	
1489780572	22.250	98196	263.8	22.87	33.7	34.15	2776	3286	8294	648	85.00	1	0	0	0	0	0	0	
1489780572	22.250	98200	263.5	22.87	33.7	34.15	2777	3286	8294	645	85.00	1	0	0	0	0	0	0	
1489780573	22.250	98200	263.4	22.88	33.7	34.15	2777	3286	8294	645	85.00	1	0	0	0	0	0	0	
1489780574	22.250	98202	263.3	22.88	33.7	34.15	2777	3286	8292	642	85.00	1	0	0	0	0	0	0	
1489780575	22.250	98196	263.8	22.88	33.7	34.15	2777	3286	8294	639	85.00	1	0	0	0	0	0	0	
1489780576	22.250	98202	263.3	22.88	33.7	34.15	2777	3286	8294	636	85.00	1	0	0	0	0	0	0	
1489780577	22.250	98196	263.8	22.88	33.7	34.15	2777	3286	8292	634	85.00	1	0	0	0	0	0	0	
1489780578	22.250	98200	263.4	22.90	33.7	34.15	2777	3286	8292	632	85.00	1	0	0	0	0	0	0	
1489780579	22.312	98202	263.3	22.90	33.7	34.15	2778	3286	8294	629	85.00	1	0	0	0	0	0	0	
1489780580	22.250	98200	263.5	22.90	33.7	34.15	2778	3286	8294	627	85.00	1	0	0	0	0	0	0	
1489780581	22.312	98200	263.5	22.91	33.7	34.15	2778	3286	8292	625	85.00	1	0	0	0	0	0	0	
1489780582	22.312	98202	263.3	22.91	33.6	34.15	2778	3286	8292	623	85.00	1	0	0	0	0	0	0	
1489780583	22.312	98200	263.5	22.91	33.6	34.15	2778	3286	8292	621	85.00	1	0	0	0	0	0	0	
1489780584	22.312	98202	263.3	22.91	33.6	34.15	2778	3286	8294	620	85.00	1	0	0	0	0	0	0	
1489780585	22.312	98200	263.5	22.92	33.6	34.15	2779	3286	8294	618	85.00	1	0	0	0	0	0	0	
1489780585	22.312	98206	263.0	22.92	33.6	34.15	2779	3286	8294	618	85.00	1	0	0	0	0	0	0	
1489780586	22.312	98206	263.0	22.92	33.6	34.15	2779	3286	8290	617	85.00	1	0	0	0	0	0	0	
1489780587	22.312	98210	262.6	22.93	33.6	34.15	2779	3286	8294	615	85.00	1	0	0	0	0	0	0	
1489780588	22.312	98204	263.1	22.93	33.6	34.15	2779	3286	8292	614	85.00	1	0	0	0	0	0	0	
1489780589	22.312	98204	263.1	22.93	33.6	34.15	2779	3286	8292	613	85.00	1	0	0	0	0	0	0	
1489780590	22.312	98200	263.4	22.93	33.5	34.15	2779	3286	8292	611	85.00	1	0	0	0	0	0	0	
1489780591	22.312	98204	263.1	22.94	33.5	34.15	2780	3286	8292	610	85.00	1	0	0	0	0	0	0	
1489780592	22.312	98202	263.3	22.94	33.5	34.15	2780	3286	8292	608	85.00	1	0	0	0	0	0	0	
1489780593	22.375	98206	262.9	22.94	33.5	34.15	2780	3286	8284	604	85.00	1	0	0	0	0	0	0	
1489780594	22.375	98206	262.9	22.94	33.5	34.15	2780	3286	8292	604	85.00	1	0	0	0	0	0	0	
1489780595	22.312	98202	263.3	22.94	33.5	34.15	2780	3286	8292	603	85.00	1	0	0	0	0	0	0	
1489780596	22.375	98202	263.3	22.95	33.5	34.15	2780	3286	8288	602	85.00	1	0	0	0	0	0	0	
1489780597	22.375	98202	263.3	22.95	33.5	34.15	2781	3286	8294	602	85.00	1	0	0	0	0	0	0	
1489780598	22.312	98198	263.6	22.95	33.5	34.15	2781	3286	8294	602	85.00	1	0	0	0	0	0	0	
1489780599	22.375	98204	263.1	22.96	33.5	34.15	2781	3286	8292	601	85.00	1	0	0	0	0	0	0	
1489780600	22.375	98200	263.4	22.96	33.5	34.15	2781	3286	8292	601	85.00	1	0	0	0	0	0	0	
1489780601	22.375	98202	263.3	22.96	33.5	34.15	2781	3286	8292	600	85.00	1	0	0	0	0	0	0	
1489780601	22.375	98206	263.0	22.96	33.5	34.15	2781	3286	8292	600	85.00	1	0	0	0	0	0	0	
1489780602	22.375	98202	263.3	22.96	33.5	34.15	2781	3286	8292	600	85.00	1	0	0	0	0	0	0	
1489780603	22.375	98202	263.3	22.97	33.5	34.15	2782	3286	8292	600	85.00	1	0	0	0	0	0	0	
1489780604	22.375	98206	262.9	22.97	33.5	34.15	2782	3286	8292	599	85.00	1	0	0	0	0	0	0	
1489780605	22.375	98206	263.0	22.97	33.6	34.15	2782	3286	8292	599	85.00	1	0	0	0	0	0	0	
1489780606	22.375	98206	263.0	22.98	33.6	34.15	2782	3286	8292	599	85.00	1	0	0	0	0	0	0	
1489780607	22.375	98206	263.0	22.98	33.6	34.15	2782	3286	8294	599	85.00	1	0	0	0	0	0	0	
1489780608	22.375	98204	263.1	22.98	33.6	34.15	2782	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780609	22.375	98206	263.0	22.98	33.6	34.15	2783	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780610	22.438	98208	262.7	22.99	33.6	34.15	2783	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780611	22.375	98204	263.1	22.99	33.6	34.15	2783	3286	8294	598	85.00	1	0	0	0	0	0	0	
1489780612	22.438	98210	262.6	22.99	33.6	34.15	2783	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780613	22.438	98210	262.6	23.00	33.6	34.15	2783	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780614	22.438	98210	262.6	23.00	33.6	34.15	2783	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780614	22.438	98206	263.0	23.01	33.6	34.15	2783	3286	8292	598	85.00	1	0	0	0	0	0	0	
1489780615	22.438	98206	263.0	23.01	33.6	34.15	2783	3286	8290	597	85.00	1	0	0	0	0	0	0	
1489780616	22.438	98206	263.0	23.02	33.5	34.15	2784	3286	8292	597	85.00	1	0	0	0	0	0	0	
1489780617	22.438	98206	262.9	23.02	33.5	34.25	2784	3286	8288	596	85.00	1	0	0	0	0	0	0	
1489780618	22.438	98208	262.7	23.03	33.5	34.25	2784	3286	8294	596	85.00	1	0	0	0	0	0	0	
1489780619	22.438	98210	262.6	23.05	33.6	34.25	2784	3286	8292	596	85.00	1	0	0	0	0	0	0	
1489780620	22.438	98208	262.8	23.03	33.6	34.25	2784	3286	8292	596	85.00	1	0	0	0	0	0	0	
1489780621	22.438	98208	262.8	23.05	33.5	34.25	2784	3286	8294	596	85.00	1	0	0	0	0	0	0	
1489780622	22.438	98208	262.8	23.05	33.5	34.25	2785	3286	8292	595	85.00	1	0	0	0	0	0	0	
1489780623	22.438	98206	262.9	23.05	33.5	34.25	2785	3286	8286	593	85.00	1	0	0	0	0	0	0	
1489780624	22.438	98208	262.8	23.05	33.5	34.25	2785	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780625	22.500	98210	262.6	23.05	33.6	34.25	2785	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780626	22.500	98208	262.8	23.05	33.7	34.25	2785	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780626	22.438	98204	263.1	23.05	33.7	34.25	2785	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780627	22.500	98208	262.8	23.05	33.8	34.25	2785	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780628	22.500	98210	262.6	23.05	33.8	34.25	2786	3286	8288	593	85.00	1	0	0	0	0	0	0	
1489780629	22.500	98208	262.8	23.05	33.8	34.25	2786	3286	8294	593	85.00	1	0	0	0	0	0	0	
1489780630	22.500	98210	262.6	23.05	33.8	34.25	2786	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780631	22.500	98208	262.8	23.05	33.8	34.25	2786	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780632	22.500	98208	262.8	23.05	33.9	34.25	2786	3286	8294	593	85.00	1	0	0	0	0	0	0	
1489780633	22.500	98212	262.5	23.05	33.9	34.25	2786	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780634	22.500	98214	262.2	23.05	33.9	34.25	2787	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780635	22.500	98212	262.4	23.06	34.0	34.25	2787	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780636	22.562	98212	262.4	23.07	34.0	34.25	2787	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780637	22.500	98210	262.6	23.08	34.6	34.25	2787	3286	8292	594	85.00	1	0	0	0	0	0	0	
1489780638	22.562	98212	262.4	23.09	35.4	34.25	2787	3286	8292	594	85.00	1	0	0	0	0	0	0	
1489780639	22.562	98212	262.4	23.10	35.8	34.25	2787	3286	8292	594	85.00	1	0	0	0	0	0	0	
1489780639	22.562	98212	262.4	23.10	35.8	34.25	2787	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780640	22.562	98214	262.3	23.10	35.8	34.25	2788	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780641	22.562	98212	262.4	23.11	35.8	34.25	2788	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780642	22.562	98214	262.2	23.11	35.7	34.25	2788	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780643	22.562	98214	262.2	23.11	35.6	34.25	2788	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780644	22.562	98212	262.4	23.13	35.6	34.25	2788	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780645	22.562	98214	262.3	23.13	35.5	34.25	2788	3286	8294	595	85.00	1	0	0	0	0	0	0	
1489780646	22.562	98214	262.3	23.13	35.4	34.25	2789	3286	8294	594	85.00	1	0	0	0	0	0	0	
1489780647	22.562	98212	262.4	23.13	35.3	34.25	2789	3286	8288	594	85.00	1	0	0	0	0	0	0	
1489780648	22.562	98214	262.2	23.14	35.2	34.25	2789	3286	8294	593	85.00	1	0	0	0	0	0	0	
1489780649	22.562	98212	262.4	23.14	35.1	34.25	2789	3286	8294	593	85.00	1	0	0	0	0	0	0	
1489780650	22.562	98214	262.3	23.14	35.0	34.25	2789	3286	8292	593	85.00	1	0	0	0	0	0	0	
1489780651	22.562	98218	261.9	23.14	34.9	34.25	2789	3286	8294	593	85.00	1	0	0	0	0	0	0	
1489780651	22.562	98214	262.2	23.15	34.8	34.25	2789	3286	8294	593	85.00	1	0	0	0	0	0	0	
