# SMS messages received by VS, time is UTC
07-45-47A00546G00000F1C3284V8434 http://maps.google.com/?q=00.00000,00.00000
07-48-48A00545G00000F1C3283V8432 http://maps.google.com/?q=00.00000,00.00000
07-50-11A00546G-0049F3C3282V8430 http://maps.google.com/?q=49.71678,14.09773
07-50-41A00545G00388F0C3282V8430 http://maps.google.com/?q=49.71731,14.09793
07-53-41A00545G00442F3C3280V8428 http://maps.google.com/?q=49.71761,14.09774
07-56-42A00544G00415F3C3280V8432 http://maps.google.com/?q=49.71736,14.09788
07-59-43A00544G00433F3C3280V8430 http://maps.google.com/?q=49.71744,14.09787
08-02-43A00546G00448F3C3279V8432 http://maps.google.com/?q=49.71758,14.09786
08-05-44A00544G00456F3C3279V8430 http://maps.google.com/?q=49.71751,14.09784
08-08-45A00545G00456F3C3278V8428 http://maps.google.com/?q=49.71731,14.09783
08-11-46A00544G00441F3C3277V8430 http://maps.google.com/?q=49.71742,14.09797
08-14-46A00544G00430F3C3277V8430 http://maps.google.com/?q=49.71750,14.09770
08-17-47A00544G00404F3C3276V8428 http://maps.google.com/?q=49.71733,14.09777
08-20-48A00544G00448F3C3276V8428 http://maps.google.com/?q=49.71755,14.09789
08-23-48A00544G00426F3C3275V8428 http://maps.google.com/?q=49.71726,14.09772
08-26-49A00543G00439F3C3275V8426 http://maps.google.com/?q=49.71737,14.09787
08-29-50A00545G00441F3C3274V8428 http://maps.google.com/?q=49.71740,14.09785
08-32-50A00544G00449F3C3273V8426 http://maps.google.com/?q=49.71738,14.09787
08-35-51A00542G00465F3C3273V8426 http://maps.google.com/?q=49.71721,14.09783
08-38-52A00543G00461F3C3272V8424 http://maps.google.com/?q=49.71747,14.09778
08-41-53A00545G00450F3C3272V8424 http://maps.google.com/?q=49.71753,14.09773
08-44-53A00547G00455F3C3276V8424 http://maps.google.com/?q=49.71731,14.09783
08-47-54A00547G00453F3C3276V8424 http://maps.google.com/?q=49.71728,14.09784
08-50-54A00547G00439F3C3275V8428 http://maps.google.com/?q=49.71733,14.09786
08-53-55A00547G00427F3C3275V8424 http://maps.google.com/?q=49.71736,14.09785
08-56-56A00549G00418F3C3275V8424 http://maps.google.com/?q=49.71739,14.09790
08-59-57A00547G00416F3C3274V8424 http://maps.google.com/?q=49.71745,14.09798
09-02-57A00548G00422F3C3274V8424 http://maps.google.com/?q=49.71752,14.09805
09-05-58A00548G00475F3C3274V8424 http://maps.google.com/?q=49.71706,14.09796
09-08-59A00548G00423F3C3273V8424 http://maps.google.com/?q=49.71742,14.09791
09-11-59A00550G00437F3C3273V8422 http://maps.google.com/?q=49.71756,14.09780
09-15-00A00549G00444F3C3273V8422 http://maps.google.com/?q=49.71737,14.09787
09-18-01A00549G00453F3C3272V8422 http://maps.google.com/?q=49.71734,14.09788
09-21-01A00549G00456F3C3272V8422 http://maps.google.com/?q=49.71742,14.09784
09-24-02A00548G00445F3C3272V8422 http://maps.google.com/?q=49.71747,14.09792
09-27-03A00548G00447F3C3272V8422 http://maps.google.com/?q=49.71746,14.09789
09-30-04A00550G00431F3C3271V8218 http://maps.google.com/?q=49.71732,14.09788
09-33-04A00554G00456F3C3182V8158 http://maps.google.com/?q=49.71798,14.09735
12-30-30A00432G00342F3C0100V7000 http://maps.google.com/?q=48.98969,15.96431
12-33-31A00434G00348F3C0100V6978 http://maps.google.com/?q=48.98970,15.96428
12-36-32A00433G00346F3C0100V6974 http://maps.google.com/?q=48.98970,15.96429
12-39-32A00433G00348F3C0097V6962 http://maps.google.com/?q=48.98969,15.96429
12-42-33A00433G00348F3C0096V6946 http://maps.google.com/?q=48.98970,15.96428
12-45-34A00433G00347F3C0096V6930 http://maps.google.com/?q=48.98970,15.96427
12-48-35A00432G00348F3C0096V6916 http://maps.google.com/?q=48.98969,15.96428
12-51-35A00431G00348F3C0093V6902 http://maps.google.com/?q=48.98970,15.96429
12-54-36A00432G00347F3C0091V6884 http://maps.google.com/?q=48.98969,15.96428
12-57-37A00432G00349F3C0090V6864 http://maps.google.com/?q=48.98969,15.96428
13-00-38A00430G00347F3C0087V6844 http://maps.google.com/?q=48.98968,15.96428
13-03-38A00432G00349F3C0085V6822 http://maps.google.com/?q=48.98970,15.96429
13-06-39A00431G00349F3C0078V6796 http://maps.google.com/?q=48.98970,15.96427
13-09-40A00430G00351F3C0074V6770 http://maps.google.com/?q=48.98970,15.96427
13-12-40A00430G00352F3C0072V6726 http://maps.google.com/?q=48.98970,15.96427
13-15-41A00431G00346F3C0073V6716 http://maps.google.com/?q=48.98969,15.96426
13-18-41A00430G00348F3C0069V6682 http://maps.google.com/?q=48.98970,15.96427
13-21-42A00429G00349F3C0064V6644 http://maps.google.com/?q=48.98970,15.96427
13-24-43A00430G00351F3C0063V6596 http://maps.google.com/?q=48.98972,15.96429
13-27-43A00430G00348F3C0059V6564 http://maps.google.com/?q=48.98972,15.96427
13-30-44A00430G00346F3C0059V6540 http://maps.google.com/?q=48.98972,15.96427
13-33-45A00430G00346F3C0056V6502 http://maps.google.com/?q=48.98969,15.96429
13-36-46A00430G00350F3C0049V6464 http://maps.google.com/?q=48.98969,15.96429
13-39-46A00431G00348F3C0042V6414 http://maps.google.com/?q=48.98971,15.96427
13-42-47A00429G00349F3C0038V6356 http://maps.google.com/?q=48.98970,15.96428
13-45-48A00429G00349F3C0029V6274 http://maps.google.com/?q=48.98969,15.96429
13-48-49A00428G00343F3C0005V6144 http://maps.google.com/?q=48.98973,15.96428
13-51-49A00427G00346F3C0000V5918 http://maps.google.com/?q=48.98971,15.96431
