Epoch	T_Altimet	Pressure	Alt_Alt	T_SHT	Humidity	T_Bat	RemCap_mAh	Cap_mAh	U_mV	I_mA	Charge_pct	GPS_Fix	GPS_Alt	GPS_Lat	GPS_Lon	GPS_epx	GPS_epy	GPS_epv	
1489829817	26.375	92140	794.3	25.16	36.6	33.55	3093	3291	8128	-455	94.00	3	700.2	49.720127333	14.104380833	7.287	9.902	24.61	
1489829818	26.312	92070	800.6	25.16	36.6	33.55	3093	3291	8126	-471	94.00	3	700.2	49.720127333	14.104380833	7.287	9.902	24.61	
1489829819	26.312	92000	806.9	25.16	36.6	33.65	3093	3291	8124	-487	94.00	3	706.5	49.720141667	14.104682833	7.287	9.902	24.61	
1489829820	26.312	91924	813.8	25.16	36.5	33.65	3093	3291	8124	-501	94.00	3	712.7	49.720151333	14.105002	7.287	9.902	24.61	
1489829821	26.312	91828	822.5	25.16	36.5	33.65	3093	3291	8124	-501	94.00	3	720.2	49.720161333	14.105309	7.287	9.902	24.61	
1489829821	26.312	91752	829.3	25.16	36.5	33.65	3093	3291	8124	-515	94.00	3	728.8	49.720173	14.105582833	7.287	9.902	24.61	
1489829822	26.312	91662	837.5	25.16	36.5	33.65	3092	3291	8124	-527	94.00	3	737.4	49.720191333	14.105822833	7.287	9.902	24.61	
1489829823	26.312	91586	844.3	25.16	36.5	33.65	3092	3291	8124	-538	94.00	3	744.8	49.720223333	14.106050833	7.287	9.902	24.61	
1489829824	26.312	91526	849.7	25.15	36.5	33.65	3092	3291	8122	-549	94.00	3	751.3	49.720275167	14.106295667	7.287	9.902	24.61	
1489829752	26.312	91474	854.4	25.16	36.5	33.65	3092	3291	8124	-559	94.00	3	756.6	49.720344167	14.1065725	7.287	9.902	24.61	
1489829753	26.312	91426	858.8	25.16	36.5	33.65	3092	3291	8122	-568	94.00	3	760.9	49.720417	14.106891	7.287	9.902	24.61	
1489829754	26.312	91356	865.1	25.16	36.5	33.55	3091	3291	8122	-577	94.00	3	765.1	49.720475	14.107246667	7.287	9.902	24.61	
1489829755	26.312	91310	869.2	25.16	36.5	33.55	3091	3291	8120	-585	94.00	3	769.9	49.7204975	14.1076145	7.287	9.902	24.61	
1489829756	26.312	91258	874.0	25.16	36.4	33.55	3091	3291	8118	-593	94.00	3	774.7	49.720481333	14.107958	7.287	9.902	24.61	
1489829757	26.312	91224	877.1	25.16	36.4	33.55	3091	3291	8118	-600	94.00	3	778.4	49.720446333	14.108255	7.287	9.902	24.61	
1489829758	26.312	91192	880.0	25.16	36.4	33.55	3091	3291	8118	-607	94.00	3	778.4	49.720446333	14.108255	7.287	9.902	24.61	
1489829759	26.312	91138	884.9	25.16	36.4	33.55	3090	3291	8118	-614	94.00	3	782.0	49.720416833	14.108497333	7.287	9.902	24.61	
1489829760	26.312	91102	888.1	25.16	36.4	33.55	3090	3291	8118	-614	94.00	3	785.8	49.720408	14.108702833	7.287	9.902	24.61	
1489829761	26.312	91064	891.6	25.16	36.4	33.55	3090	3291	8116	-620	94.00	3	789.4	49.720424667	14.108904667	7.287	9.902	24.61	
1489829762	26.312	91036	894.2	25.16	36.4	33.55	3090	3291	8116	-625	94.00	3	792.5	49.720456167	14.109134667	7.287	9.902	24.61	
1489829763	26.312	90992	898.1	25.16	36.4	33.55	3090	3291	8116	-630	94.00	3	796.0	49.720485667	14.109411167	7.287	9.902	24.61	
1489829764	26.312	90942	902.6	25.16	36.4	33.55	3090	3291	8118	-635	94.00	3	800.0	49.720497167	14.1097255	7.287	9.902	24.61	
1489829765	26.312	90902	906.3	25.15	36.4	33.55	3090	3291	8116	-639	94.00	3	804.1	49.7204895	14.110048333	7.287	9.902	24.61	
1489829765	26.312	90850	911.0	25.16	36.4	33.55	3089	3291	8116	-643	94.00	3	808.5	49.720470167	14.110349333	7.287	9.902	24.61	
1489829766	26.312	90804	915.2	25.15	36.4	33.55	3089	3291	8116	-647	94.00	3	813.5	49.720454333	14.110617333	7.287	9.902	24.61	
1489829767	26.312	90742	920.8	25.16	36.4	33.55	3089	3291	8116	-651	94.00	3	818.8	49.720454667	14.110862167	7.287	9.902	24.61	
1489829768	26.312	90698	924.8	25.15	36.4	33.55	3089	3291	8118	-654	94.00	3	824.0	49.720472167	14.111109833	7.287	9.902	24.61	
1489829769	26.312	90646	929.6	25.15	36.4	33.55	3089	3291	8116	-657	94.00	3	829.1	49.7204975	14.111387833	7.287	9.902	24.61	
1489829770	26.312	90588	934.9	25.15	36.4	33.55	3088	3291	8116	-660	94.00	3	834.363	49.720513638	14.111710068	7.287	9.902	24.61	
1489829771	26.312	90524	940.8	25.15	36.4	33.55	3088	3291	8114	-663	94.00	3	835.2	49.720513667	14.11171	7.287	9.902	24.61	
1489829772	26.312	90464	946.2	25.15	36.4	33.55	3088	3291	8114	-663	94.00	3	841.1	49.7205075	14.112059	7.287	9.902	24.61	
1489829773	26.312	90410	951.1	25.15	36.4	33.55	3088	3291	8112	-665	94.00	3	847.5	49.7204805	14.112397	7.287	9.902	24.61	
1489829774	26.312	90346	957.0	25.15	36.3	33.55	3088	3291	8114	-667	94.00	3	853.8	49.720444	14.112703667	7.287	9.902	24.61	
1489829775	26.312	90282	962.8	25.15	36.3	33.55	3088	3291	8114	-670	94.00	3	859.7	49.720416167	14.112977833	7.287	9.902	24.61	
1489829776	26.312	90210	969.4	25.15	36.3	33.55	3087	3291	8112	-672	94.00	3	865.7	49.7204095	14.113239167	7.287	9.902	24.61	
1489829777	26.312	90134	976.3	25.15	36.3	33.55	3087	3291	8104	-676	94.00	3	872.5	49.720429333	14.1135155	7.287	9.902	24.61	
1489829778	26.312	90048	984.2	25.15	36.3	33.55	3087	3291	8112	-678	94.00	3	879.5	49.7204635	14.113825333	7.287	9.902	24.61	
1489829778	26.312	90008	987.9	25.14	36.3	33.55	3087	3291	8104	-681	94.00	3	885.3	49.720494167	14.114172667	7.287	9.902	24.61	
1489829779	26.312	89960	992.3	25.14	36.3	33.55	3087	3291	8112	-682	94.00	3	890.2	49.7205015	14.114555167	7.287	9.902	24.61	
1489829780	26.312	89912	996.7	25.14	36.3	33.55	3086	3291	8110	-684	94.00	3	895.3	49.7204735	14.114951667	7.287	9.902	24.61	
1489829781	26.312	89846	1002.7	25.14	36.3	33.55	3086	3291	8106	-687	94.00	3	901.7	49.720421833	14.115334667	7.287	9.902	24.61	
1489829782	26.312	89792	1007.7	25.14	36.3	33.55	3086	3291	8104	-689	94.00	3	908.3	49.720373833	14.115696667	7.287	9.902	24.61	
1489829784	26.312	89648	1020.9	25.14	36.3	33.55	3086	3291	8104	-691	94.00	3	915.4	49.720354333	14.116045167	7.287	9.902	24.61	
1489829785	26.312	89568	1028.3	25.13	36.3	33.55	3086	3291	8112	-692	94.00	3	922.0	49.720365667	14.1163865	7.287	9.902	24.61	
1489829786	26.312	89518	1032.9	25.14	36.3	33.55	3085	3291	8110	-692	94.00	3	928.8	49.720397667	14.116727667	7.287	9.902	24.61	
1489829787	26.312	89454	1038.8	25.14	36.2	33.55	3085	3291	8112	-692	94.00	3	936.5	49.720428667	14.117064667	7.287	9.902	24.61	
1489829788	26.312	89352	1048.2	25.14	36.2	33.55	3085	3291	8110	-693	94.00	3	944.9	49.720443833	14.117396833	7.287	9.902	24.61	
